mtzbdh7wgm,戴嘉丽,鄂伦春,女,1988,8,24,贵州省遵义市遵义县尚嵇镇毛坪社区居委会,3.50301201903214E+017,汉中市勉县分局,2016.11.25-2021.11.25
zzzwfmdt3f,柳林苑,珞巴,女,2013,9,2,广东省广州市白云区钟落潭镇钟落潭村委会,3.20900201606242E+017,省直辖县级行政区划陵水黎族自治县公安局,2014.09.20-2034.09.20
wgkgrf2ktq,冉良,布朗,女,1965,4,1,河北省承德市滦平县邓厂满族乡邓厂村委会,2.30307198809272E+017,市辖区宁河区公安局,2019.08.26-长期
tihpu00e59,董妃,黎,女,1960,10,3,河南省许昌市襄城县双庙乡湾张村委会,5.30501199101041E+017,双鸭山市尖山区分局,2012.04.28-2022.04.28
b4kqyvufpy,翟文选,纳西,女,1989,2,24,贵州省遵义市红花岗区中山路街道办事处新华桥社区居委会,3.50783195409295E+016,三门峡市灵宝市公安局,2013.02.28-2023.02.28
azjvr6sf2u,林新月,傣,男,2006,6,5,湖南省岳阳市湘阴县东塘镇花吴祠村民委员会,6.10721201301011E+017,济宁市任城区分局,2003.02.16-2008.02.16
h710my4ud7,冯玉平,彝,男,1979,5,21,广东省茂名市信宜市水口镇垌心村委会,3.60824200508072E+017,兰州市西固区分局,2011.03.29-2021.03.29
eg6jztuj82,孙大凯,塔吉克,男,1995,4,24,四川省广安市邻水县护邻乡双雁村委会,4.11104199506152E+017,台州市椒江区公安局,2006.08.18-2016.08.18
4y7mr1j6y7,陈乐吾,黎,女,1972,6,20,湖南省邵阳市武冈市司马冲镇坪江村委会,4.51425200410124E+017,衢州市衢江区分局,1997.05.23-2007.05.23
d6pkyf3ldi,柳玉龙,白,男,1994,8,12,广东省云浮市郁南县通门镇冲梅村委会,2.11011201104215E+017,省直辖县级行政区划陵水黎族自治县公安局,1990.05.15-2010.05.15
